brand,name,grade,mileage,price,image
hyundai,그랜저,2.5 가솔린 캘리그래피,신차,650000,https://loremflickr.com/320/240/car?lock=1
kia,쏘렌토,2.5 가솔린 터보 시그니처,신차,680000,https://loremflickr.com/320/240/car?lock=2
genesis,G80,2.5 가솔린 터보 AWD,신차,950000,https://loremflickr.com/320/240/car?lock=3
benz,E-Class,E 250 Avantgarde,신차,1200000,https://loremflickr.com/320/240/car?lock=4
bmw,5 Series,520i M Sport,신차,1150000,https://loremflickr.com/320/240/car?lock=5
hyundai,아반떼,1.6 가솔린 인스퍼레이션,신차,450000,https://loremflickr.com/320/240/car?lock=6
kia,카니발,3.5 가솔린 9인승 시그니처,신차,850000,https://loremflickr.com/320/240/car?lock=7
genesis,GV80,2.5 가솔린 터보 AWD,신차,1100000,https://loremflickr.com/320/240/car?lock=8
hyundai,산타페,2.5 터보 프레스티지,신차,720000,https://loremflickr.com/320/240/car?lock=9
kia,K8,2.5 가솔린 노블레스,신차,690000,https://loremflickr.com/320/240/car?lock=10
